Rank,Platform,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global
669,PS2,Tony Hawk's Underground 2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37
678,PS2,WWE SmackDown vs Raw 2008,2007,Fighting,THQ,0.92,0,0.01,1.41,2.34
680,PS2,Resident Evil - Code: Veronica X,2001,Action,Capcom,1.08,0.7,0.34,0.21,2.34
687,PS2,James Bond 007: Everything or Nothing,2004,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31
703,PS2,FIFA Soccer 09,2008,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28
716,PS2,Onimusha 2: Samurai's Destiny,2002,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25
726,PS2,Dance Dance Revolution X2,2009,Simulation,Konami Digital Entertainment,1.09,0.85,0,0.28,2.23
728,PS2,Prince of Persia: The Sands of Time,2003,Action,Ubisoft,0.88,1.03,0,0.31,2.22
734,PS2,Devil May Cry 3: Dante's Awakening Special Edition,2006,Action,Capcom,1.06,0.82,0.05,0.28,2.21
749,PS2,ATV Offroad Fury 2,2002,Racing,THQ,1.92,0.2,0,0.06,2.18
769,PS2,Dance Dance Revolution Extreme,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0,0.27,2.13
782,PS2,Need for Speed: Hot Pursuit 2,2002,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11
785,PS2,Dynasty Warriors 4,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11
788,PS2,Scooby-Doo! Night of 100 Frights,2002,Platform,THQ,1.17,0.72,0,0.22,2.1
792,PS2,Devil May Cry 3: Dante's Awakening,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09
795,PS2,Finding Nemo,2003,Action,THQ,1.26,0.6,0.05,0.18,2.09
802,PS2,Tetris Worlds,2002,Puzzle,THQ,1.11,0.71,0,0.27,2.08
821,PS2,SoulCalibur II,2003,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06
834,PS2,SOCOM: U.S. Navy SEALs: Combined Assault,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,0.28,2.04
835,PS2,Peter Jackson's King Kong: The Official Game of the Movie,2005,Action,Ubisoft,0.71,1.02,0,0.31,2.04
841,PS2,NBA Live 2004,2003,Sports,Electronic Arts,1.57,0.18,0,0.27,2.03
862,PS2,Spyro: Enter the Dragonfly,2002,Platform,Universal Interactive,0.74,0.95,0,0.28,1.97
864,PS2,Devil May Cry 2,2003,Action,Capcom,0.71,0.58,0.51,0.17,1.97
874,PS2,Crash Nitro Kart,2003,Racing,Vivendi Games,0.74,1.01,0,0.2,1.95
877,PS2,NBA Street Vol. 2,2003,Sports,Electronic Arts,1.69,0.2,0,0.06,1.95
878,PS2,Def Jam Vendetta,2003,Fighting,Electronic Arts,0.95,0.74,0,0.25,1.94
883,PS2,Dragon Ball Z: Budokai 3,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94
885,PS2,Tom Clancy's Ghost Recon,2002,Shooter,Ubisoft,1.42,0.4,0,0.12,1.94
886,PS2,X-Men Legends,2004,Role-Playing,Activision,1,0.72,0,0.21,1.93
899,PS2,Red Faction,2001,Shooter,THQ,0.76,0.96,0,0.2,1.92
901,PS2,MX Unleashed,2004,Racing,THQ,0.94,0.73,0,0.25,1.92
916,PS2,Mortal Kombat: Deception,2004,Fighting,Midway Games,0.92,0.72,0,0.24,1.88
918,PS2,Medal of Honor: European Assault (All Region sales),2005,Shooter,Electronic Arts,0.89,0.69,0.09,0.21,1.88
920,PS2,High School Musical: Sing It!,2007,Misc,Disney Interactive Studios,0.47,0.08,0,1.33,1.87
923,PS2,Dynasty Warriors 3,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87
927,PS2,Shrek 2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86
930,PS2,SingStar,2004,Misc,Sony Computer Entertainment,0,1.37,0,0.49,1.86
932,PS2,NBA Live 2002,2001,Sports,Electronic Arts,0.91,0.71,0,0.24,1.86
937,PS2,Jak 3,2004,Platform,Sony Computer Entertainment,1.33,0.49,0,0.03,1.85
942,PS2,Gran Turismo Concept 2001 Tokyo,2001,Racing,Unknown,0,1.1,0.42,0.33,1.84
944,PS2,NCAA Football 06,2005,Sports,Electronic Arts,1.53,0.05,0,0.25,1.84
955,PS2,Namco Museum,2001,Misc,Namco Bandai Games,1.73,0.07,0,0.02,1.82
960,PS2,DDRMAX2: Dance Dance Revolution,2003,Simulation,Konami Digital Entertainment,1.05,0.59,0,0.18,1.81
962,PS2,Virtua Fighter 4,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81
963,PS2,Sly 2: Band of Thieves,2004,Platform,Sony Computer Entertainment,0.88,0.69,0,0.23,1.81
964,PS2,Guitar Hero: World Tour,2008,Misc,Activision,1,0.03,0,0.77,1.8
973,PS2,Midnight Club II,2003,Racing,Take-Two Interactive,1.25,0.29,0,0.24,1.78
976,PS2,The Getaway: Black Monday,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78
981,PS2,50 Cent: Bulletproof,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77
991,PS2,The SpongeBob SquarePants Movie,2004,Platform,THQ,1.06,0.54,0,0.16,1.76
995,PS2,Def Jam: Fight for NY,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76
997,PS2,State of Emergency,2002,Action,Take-Two Interactive,0.86,0.67,0,0.22,1.76
1002,PS2,The Urbz: Sims in the City,2004,Simulation,Electronic Arts,0.52,0.95,0,0.29,1.76
1004,PS2,Star Wars: Starfighter,2001,Simulation,Activision,0.61,0.87,0.02,0.26,1.76
1008,PS2,Pro Evolution Soccer,2001,Sports,Konami Digital Entertainment,0.06,0.9,0.53,0.27,1.75
1014,PS2,Dance Dance Revolution X,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75
1017,PS2,Xenosaga Episode I: Der Wille zur Macht,2002,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74
1027,PS2,SSX Tricky,2001,Sports,Electronic Arts,0.85,0.66,0,0.22,1.73
1034,PS2,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003,Action,Take-Two Interactive,0.85,0.66,0,0.22,1.72
1037,PS2,Call of Duty: World at War Final Fronts,2008,Shooter,Activision,0.61,0.18,0,0.94,1.72
1041,PS2,Star Ocean: Till The End of Time,2003,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.72
1046,PS2,Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71
1052,PS2,FIFA Soccer 10,2009,Sports,Electronic Arts,0.23,0.24,0,1.23,1.7
1058,PS2,NCAA Football 07,2006,Sports,Electronic Arts,1.41,0.05,0,0.23,1.7
1059,PS2,SOCOM 3: U.S. Navy SEALs,2005,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69
1075,PS2,World Championship Poker: Featuring Howard Lederer - All In,2006,Misc,Oxygen Interactive,0.82,0.64,0,0.22,1.68
1085,PS2,SSX 3,2003,Sports,Electronic Arts,0.93,0.52,0,0.22,1.67
1096,PS2,Spy Hunter,2001,Racing,Midway Games,1.13,0.32,0,0.22,1.67
1097,PS2,NCAA Football 2004,2003,Sports,Electronic Arts,1.35,0.09,0,0.23,1.67
1098,PS2,SpongeBob SquarePants: Battle for Bikini Bottom,2003,Platform,THQ,1.08,0.45,0,0.14,1.67
1102,PS2,SSX,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2,1.66
1104,PS2,NBA Ballers,2004,Sports,Midway Games,0.81,0.63,0,0.21,1.66
1106,PS2,NBA Live 2003,2002,Sports,Electronic Arts,1.25,0.15,0.03,0.22,1.66
1107,PS2,Dragon Ball Z: Budokai Tenkaichi,2005,Fighting,Atari,0.96,0.12,0.54,0.04,1.66
1112,PS2,Dragon Quest V: Tenkuu no Hanayome,2004,Role-Playing,Enix Corporation,0,0,1.65,0,1.65
1120,PS2,Tiger Woods PGA Tour 2003,2002,Sports,Electronic Arts,0.8,0.63,0,0.21,1.64
1121,PS2,NBA Live 06 (All region sales),2005,Sports,Electronic Arts,1.44,0.15,0,0.05,1.64
1122,PS2,Prince of Persia: Warrior Within,2004,Action,Ubisoft,0.54,0.88,0,0.22,1.64
1130,PS2,Tiger Woods PGA Tour 2004,2003,Sports,Electronic Arts,1.18,0.34,0,0.1,1.63
1133,PS2,NCAA Football 2005,2004,Sports,Electronic Arts,1.32,0.09,0,0.22,1.62
1136,PS2,Tony Hawk's American Wasteland (Old all region sales),2005,Sports,Activision,0.8,0.63,0.01,0.19,1.62
1142,PS2,NFL Street 2,2004,Sports,Electronic Arts,0.79,0.62,0,0.21,1.61
1147,PS2,Buzz! The Music Quiz,2005,Misc,Sony Computer Entertainment,0,1.18,0,0.43,1.61
1152,PS2,Dollar Dash,2005,Action,Take-Two Interactive,1.3,0.23,0,0.07,1.6
1160,PS2,ESPN NBA 2K5,2004,Sports,Global Star,1.26,0.12,0,0.21,1.59
1182,PS2,Pro Evolution Soccer 2010,2009,Sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16,1.57
1183,PS2,NCAA Football 2002,2001,Sports,Electronic Arts,0.77,0.6,0,0.2,1.57
1184,PS2,Conflict: Desert Storm,2002,Shooter,Gotham Games,0.98,0.53,0,0.06,1.57
1187,PS2,Smuggler's Run,2000,Racing,Take-Two Interactive,0.77,0.6,0,0.2,1.56
1188,PS2,Fight Night Round 3,2006,Fighting,Electronic Arts,1.07,0.4,0,0.1,1.56
1198,PS2,Stuntman,2002,Racing,Atari,0.76,0.59,0,0.2,1.55
1213,PS2,Dark Cloud,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54
1217,PS2,MVP Baseball 2005,2005,Sports,Electronic Arts,1.26,0.07,0,0.21,1.54
1233,PS2,The Simpsons Skateboarding,2002,Sports,Electronic Arts,0.36,0.9,0,0.27,1.52
1242,PS2,Pac-Man World 2,2002,Action,Namco Bandai Games,1.26,0.05,0,0.21,1.51
1251,PS2,The Simpsons Game,2007,Action,Electronic Arts,0.35,0.03,0,1.13,1.51
1255,PS2,Tokyo Xtreme Racer Zero,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5
1258,PS2,Red Faction II,2002,Shooter,THQ,0.49,0.78,0,0.23,1.5
1260,PS2,Madden NFL 2001,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5
1271,PS2,Madden NFL 09,2008,Sports,Electronic Arts,1.22,0,0,0.27,1.49
1274,PS2,Buzz! The BIG Quiz,2006,Misc,Sony Computer Entertainment,0,1.1,0,0.39,1.49
1279,PS2,Dirge of Cerberus: Final Fantasy VII,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48
1284,PS2,Major League Baseball 2K5,2005,Sports,Take-Two Interactive,0.72,0.56,0,0.19,1.48
1285,PS2,Fight Night 2004,2004,Fighting,Electronic Arts,1.08,0.2,0,0.2,1.48
1303,PS2,Midway Arcade Treasures,2003,Misc,Midway Games,0.72,0.56,0,0.19,1.46
1317,PS2,Onimusha 3: Demon Siege,2004,Action,Capcom,0.37,0.47,0.54,0.07,1.45
1321,PS2,Red Dead Revolver,2004,Shooter,Take-Two Interactive,0.71,0.55,0,0.19,1.45
1323,PS2,Resident Evil: Outbreak,2003,Action,Capcom,0.54,0.35,0.46,0.1,1.45
1332,PS2,Tony Hawk's American Wasteland (Weekly american sales),2005,Sports,Activision,1.38,0.05,0,0.02,1.45
1335,PS2,SingStar Pop,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44
1344,PS2,Tiger Woods PGA Tour 2005,2004,Sports,Electronic Arts,1.03,0.32,0,0.09,1.44
1346,PS2,NCAA Football 2003,2002,Sports,Electronic Arts,1.16,0.08,0,0.19,1.44
1356,PS2,Cabela's Big Game Hunter,2002,Sports,Activision,0.7,0.54,0,0.18,1.42
1358,PS2,NBA Live 06 (Weekly american sales),2005,Sports,Electronic Arts,1.35,0.05,0,0.02,1.42
1360,PS2,NFL Street,2004,Sports,Electronic Arts,1.15,0.08,0,0.19,1.42
1378,PS2,Gran Turismo 4 Prologue,2003,Racing,Sony Computer Entertainment,0,0.47,0.77,0.17,1.41
1379,PS2,Twisted Metal: Black,2001,Racing,Sony Computer Entertainment,1.19,0.17,0,0.05,1.41
1380,PS2,NASCAR 2005: Chase for the Cup,2004,Racing,Electronic Arts,0.69,0.54,0,0.18,1.41
1383,PS2,Need For Speed: Undercover,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93,1.4
1389,PS2,Colin McRae Rally 3,2002,Racing,Codemasters,0.03,1.05,0.02,0.3,1.4
1397,PS2,Dynasty Warriors 5,2005,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39
1412,PS2,Dave Mirra Freestyle BMX 2,2001,Sports,Acclaim Entertainment,0.67,0.53,0,0.18,1.38
1414,PS2,LEGO Indiana Jones: The Original Adventures,2008,Action,LucasArts,0.6,0.01,0,0.76,1.37
1428,PS2,SingStar Abba,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36
1434,PS2,Dead to Rights,2002,Shooter,Electronic Arts,0.67,0.52,0,0.17,1.36
1447,PS2,Samurai Warriors,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35
1454,PS2,SingStar Party,2004,Misc,Sony Computer Entertainment,0,1.04,0,0.31,1.35
1457,PS2,Test Drive,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34
1463,PS2,Need for Speed Carbon,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34
1464,PS2,Max Payne 2: The Fall of Max Payne,2003,Shooter,Take-Two Interactive,0.65,0.51,0,0.17,1.34
1466,PS2,MVP Baseball 2004,2004,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34
1468,PS2,Ratchet & Clank: Up Your Arsenal (Weekly american sales),2004,Platform,Sony Computer Entertainment,1.27,0.05,0,0.02,1.33
1481,PS2,Corvette,2004,Racing,TDK Mediactive,0.65,0.51,0,0.17,1.33
1493,PS2,NFL 2K3,2002,Sports,Atari,1.06,0.08,0,0.18,1.32
1502,PS2,IHRA Drag Racing 2,2002,Racing,Bethesda Softworks,0.64,0.5,0,0.17,1.31
1507,PS2,Madagascar,2005,Platform,Activision,0.78,0.45,0,0.07,1.31
1511,PS2,Turok: Evolution,2002,Shooter,Acclaim Entertainment,0.64,0.5,0,0.17,1.31
1518,PS2,NBA Live 07,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3
1520,PS2,SingStar '80s,2005,Misc,Sony Computer Entertainment,0.27,0.02,0,1.02,1.3
1535,PS2,Transformers,2004,Shooter,Atari,0.63,0.49,0,0.16,1.29
1539,PS2,Midnight Club 3: DUB Edition (America weekly sales),2005,Racing,Take-Two Interactive,1.22,0.05,0,0.01,1.29
1540,PS2,Champions of Norrath,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28
1549,PS2,Manhunt,2003,Action,Take-Two Interactive,0.63,0.49,0,0.16,1.28
1551,PS2,Silent Hill 2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28
1555,PS2,LEGO Batman: The Videogame,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27
1565,PS2,.hack//Infection Part 1,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27
